reading_id,site_id,date,time,tempcelsius,ph,do,phosphate,conductivity
1,9,9/22/18,9:10:00 AM,22.2,8.1,6,1,590
2,12,9/22/18,9:35:00 AM,20,8.3,5.5,2,590
3,8,9/22/18,9:35:00 AM,21.1,8,3,0.8,660
4,7,9/22/18,10:00:00 AM,21.3,7.9,8,1,780
5,10,9/22/18,10:20:00 AM,21.5,8,8,2,560
6,11,9/22/18,10:45:00 AM,21,7.9,7,0.8,950
7,6,9/22/18,9:15:00 AM,20,7.9,6,1.5,660
8,6,10/6/18,9:15:00 AM,20,7.2,5,1.5,610
9,7,10/6/18,9:20:00 AM,19.2,7.5,7,2,690
10,5,10/6/18,9:30:00 AM,20.6,7.2,6,2,530
11,8,10/6/18,9:55:00 AM,19.7,7.6,7,5,850
12,4,10/6/18,10:15:00 AM,20,7.2,6,2,550
13,9,10/6/18,10:20:00 AM,19.4,7.7,5,2,770
14,11,10/6/18,12:05:00 PM,18,8.3,7,0.5,830
15,10,10/6/18,12:30:00 PM,19,8,5,1.5,710
16,12,10/6/18,12:45:00 PM,18.5,7.9,6,0.9,620
17,11,10/20/18,9:13:00 AM,10.5,8.4,0.5,,700
18,10,10/20/18,9:26:00 AM,13,8.1,6,,810
19,12,10/20/18,9:52:00 AM,13,8,7,,810
20,6,6/20/18,9:15:00 AM,15.6,7.6,5.5,2.5,940
21,4,9/20/18,9:45:00 AM,16.7,7.4,5,2,950
22,9,11/3/18,9:20:00 AM,13,7.8,3,1,740
23,8,11/3/18,9:45:00 AM,12,8,4,0.8,730
24,7,11/3/18,10:05:00 AM,13,7.9,5,1.5,910
25,6,11/3/18,10:30:00 AM,12.5,7.7,5,1,920
26,11,11/3/18,2:00:00 PM,9.5,8.1,1,,820
27,10,11/3/18,2:22:00 PM,14,7.9,6,,790
28,12,11/3/18,3:03:00 PM,12.5,7.7,6,,780
29,11,11/17/18,11:15:00 AM,5,9,8,,970
30,10,11/17/18,11:40:00 AM,7,8.2,6,,910
31,12,11/17/18,12:02:00 PM,6.5,8.1,7,,920
32,6,11/17/18,9:45:00 AM,11.7,7.7,6,3,960
33,5,11/17/18,10:05:00 AM,12.2,7.5,6,1.5,950
34,4,11/17/18,10:25:00 AM,12.8,7.5,7,2,950
35,11,12/1/18,12:03:00 PM,3,9,12,,1100
36,10,12/1/18,12:25:00 PM,5,8.5,8,,1260
37,12,12/1/18,1:36:00 PM,6,8.1,6,,1310
38,7,11/17/18,9:06:00 AM,10.1,8.1,4,1,1010
39,8,11/17/18,9:30:00 AM,11,7.7,5,1,1020
40,9,11/17/18,9:48:00 AM,10,7.9,5,1,1010
41,7,12/1/18,9:30:00 AM,11,7.7,6,1,1790
42,8,12/1/18,10:00:00 AM,10.5,7.8,7,0.8,1640
43,9,12/1/18,10:25:00 AM,9,7.9,8,0.8,1320
44,12,12/15/18,11:30:00 AM,5.5,8.4,7,1,1060
45,10,12/15/18,11:45:00 AM,6,7.9,6,1.5,1060
46,11,12/15/18,12:00:00 PM,3,8.4,11,0.6,1190
47,6,12/15/18,9:20:00 AM,10,7.6,6,1,1100
48,5,12/15/18,9:40:00 AM,10,7.5,6,1,1070
49,4,12/15/18,10:05:00 AM,11.1,7.4,6.5,0.8,1080
50,6,12/29/18,9:30:00 AM,8.9,7.6,6,1,990
51,5,12/29/18,9:50:00 AM,10,7.5,7,1,1030
52,4,12/29/18,10:10:00 AM,8.3,7.5,8,0.5,1030
53,5,1/12/19,10:54:00 AM,0.5,8.7,12,0.6,1430
54,10,1/12/19,11:10:00 AM,3,8.3,6,0.5,1150
55,6,1/12/19,9:30:00 AM,8.9,7.7,8,1,1160
56,5,1/12/19,9:45:00 AM,7.2,7.6,6,1,1160
57,4,1/12/19,10:00:00 AM,8.3,7.6,7,1,1150
58,3,9/22/18,10:05 AM,23.9,7.4,8,2,730
59,2,9/22/18,9:40 AM,22.8,9,6,0,320
60,1,9/22/18,9:00 AM,18.3,9.7,4,0,320
61,3,10/6/18,8:15 AM,20,7.9,5,2,540
62,2,10/6/18,8:40 AM,20,7.3,6,2,670
63,1,10/6/18,9:12 AM,19.4,8.3,6,0,320
64,3,11/3/18,8:20 AM,15,8,4,2,940
65,2,11/3/18,8:45 AM,12,8,5,2,890
66,1,11/3/18,9:15 AM,9,8.6,4,0,390
67,3,11/17/18,8:25 AM,11,7.9,5,1,940
68,2,11/17/18,8:55 AM,9,8,4,1,930
69,1,11/17/18,9:35 AM,5,8.5,6,0,380
70,3,12/1/18,7:40 AM,12,8.2,5,1,1630
71,2,12/1/18,8:10 AM,7,8.2,6,0.4,1270
72,1,12/1/18,8:40,4,7.3,5,0,530
73,3,12/15/18,8:00 AM,11,8.5,10,0.2,1060
74,2,12/15/18,8:26 AM,4,8.5,3,0,1090
75,1,12/15/18,8:53 AM,,,,,
76,7,12/15/18,9:20 AM,12,7.6,6,2,1270
77,8,12/15/18,9:40 AM,11,7.6,4,1,1160
78,9,12/15/18,10:00 AM,11,7.7,6,1,1150
79,3,12/29/18,8:15 AM,3,8,8,0.8,980
80,2,12/29/18,8:40,5,8.1,8,0.2,1000
81,1,12/29/18,9:10 AM,3,8.5,8,0,530
82,7,12/29/18,9:25 AM,10,8.2,5,0.8,980
83,9,12/29/18,9:45 AM,9.5,8,5,1,1050
84,8,12/29/18,10:05 AM,10,7.7,5,0.8,930
85,1,1/12/19,10:30 AM,2.5,8.6,5,0,500
86,3,1/12/19,11:30 AM,3,7.3,4,0.8,1070
87,2,1/12/19,11:00 AM,3,8.2,5,0,1110
88,7,1/12/19,9:26:00 AM,10,8.2,5,0.8,980
89,8,1/12/19,9:45:00 AM,9.5,8,5,1,1050
90,9,1/12/19,10:05:00 AM,10,7.7,5,0.8,930
